first_day,sensor_id,sensor_file,file_url,sensor_type,location,lat,lon,timestamp,pressure,altitude,pressure_sealevel,temperature,humidity,P1,durP1,ratioP1,P2,durP2,ratioP2,P0
2019-01-01,10069,2019-01-01_sds011_sensor_10069.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10069.csv,SDS011,5074,53.72,10.013,2019-01-01T00:00:49Z,NA,NA,NA,NA,NA,27.3,NA,NA,13.9,NA,NA,NA
2019-01-01,10072,2019-01-01_sds011_sensor_10072.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10072.csv,SDS011,5075,51.406,6.698,2019-01-01T01:27:08Z,NA,NA,NA,NA,NA,59.8,NA,NA,35.13,NA,NA,NA
2019-01-01,10074,2019-01-01_sds011_sensor_10074.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10074.csv,SDS011,5076,42.68,23.287,2019-01-01T00:01:03Z,NA,NA,NA,NA,NA,93.93,NA,NA,56.23,NA,NA,NA
2019-01-01,10076,2019-01-01_sds011_sensor_10076.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10076.csv,SDS011,5077,42.619,23.36,2019-01-01T00:00:58Z,NA,NA,NA,NA,NA,166.5,NA,NA,91.93,NA,NA,NA
2019-01-01,10078,2019-01-01_sds011_sensor_10078.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10078.csv,SDS011,5078,42.543,22.967,2019-01-01T00:01:00Z,NA,NA,NA,NA,NA,25.57,NA,NA,16.57,NA,NA,NA
2019-01-01,1008,2019-01-01_sds011_sensor_1008.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_1008.csv,SDS011,493,52.001,8.494,2019-01-01T00:00:41Z,NA,NA,NA,NA,NA,76.13,NA,NA,53.83,NA,NA,NA
2019-01-01,10080,2019-01-01_sds011_sensor_10080.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10080.csv,SDS011,5079,42.664,23.529,2019-01-01T00:02:02Z,NA,NA,NA,NA,NA,74.37,NA,NA,49.07,NA,NA,NA
2019-01-01,10082,2019-01-01_sds011_sensor_10082.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10082.csv,SDS011,5080,48.528,8.078,2019-01-01T02:01:25Z,NA,NA,NA,NA,NA,41.4,NA,NA,35.07,NA,NA,NA
2019-01-01,10084,2019-01-01_sds011_sensor_10084.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10084.csv,SDS011,8627,52.229,9.845,2019-01-01T00:01:04Z,NA,NA,NA,NA,NA,2.63,NA,NA,2.43,NA,NA,NA
2019-01-01,10088,2019-01-01_sds011_sensor_10088.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10088.csv,SDS011,5083,49.87,8.664,2019-01-01T00:00:00Z,NA,NA,NA,NA,NA,43.6,NA,NA,33.77,NA,NA,NA
